x,y
0.84,1.06
2.53,1.21
3.73,1.97
6.88,2.92
4.17,2.45
4.37,0.06
4.7,3.0
5.16,0.47
3.91,0.84
2.47,2.74
1.91,1.23
2.58,0.32
3.09,3.79
5.45,2.76
3.03,1.09
0.53,1.83
6.92,2.56
4.93,0.22
0.36,2.19
6.21,2.56
4.81,0.26
2.65,3.11
3.36,3.26
4.59,2.54
3.83,1.94
6.41,0.97
2.65,1.83
5.07,0.98
0.12,0.42
4.07,1.19
5.0,3.91
5.17,3.87
0.66,0.59
3.89,2.93
0.21,2.81
2.27,2.15
6.1,1.91
0.11,0.5
2.97,3.59
4.18,0.74
0.66,0.02
4.48,1.49
6.14,2.18
5.2,0.08
3.52,1.01
6.12,1.47
5.99,1.54
0.92,0.77
6.85,3.31
3.98,2.25
2.37,0.23
4.75,2.61
5.6,2.84
5.77,1.95
4.74,1.35
3.15,2.77
3.75,2.31
1.0,1.59
6.75,3.52
4.94,2.43
2.46,2.22
1.7,2.46
5.64,3.78
6.14,0.58
5.52,0.63
0.91,1.19
4.58,3.97
1.34,2.31
1.89,1.14
1.83,2.45
0.93,0.71
6.36,2.29
6.22,2.15
6.42,2.48
6.93,0.19
2.87,0.79
1.87,0.89
0.87,1.33
4.25,0.25
4.21,2.88
3.5,3.22
4.98,2.87
1.48,2.82
2.42,0.27
3.42,2.81
2.61,2.53
1.5,1.0
6.42,0.27
1.37,2.51
5.71,3.96
2.23,2.19
4.79,3.49
4.17,3.73
2.39,2.33
2.28,1.37
3.46,0.7
2.56,2.48
3.31,1.61
5.53,3.92
3.5,0.37
4.23,3.98
3.23,1.62
6.5,2.15
2.59,3.52
0.75,0.48
5.4,3.91
3.18,2.85
0.96,3.23
6.86,2.12
6.29,2.6
1.66,0.16
0.97,3.44
4.48,3.55
0.82,3.02
6.73,0.95
5.41,0.5
3.35,2.21
6.96,0.3
1.23,3.03
0.37,0.05
5.01,0.78
5.45,2.91
2.86,3.46
1.24,2.68
1.77,3.84
0.15,3.03
1.76,3.16
4.01,0.85
3.73,3.35
6.93,1.01
4.04,3.19
1.2,2.79
4.95,0.7
5.4,3.69
2.07,0.82
5.91,3.58
4.56,2.24
0.86,1.75
2.19,2.86
1.84,1.2
4.18,1.85
3.08,0.03
4.16,2.31
4.37,3.96
2.96,1.53
3.02,3.92
3.63,1.71
6.88,0.79
6.31,1.59
2.41,1.72
6.2,3.41
1.08,2.91
2.88,1.36
5.97,0.05
2.04,0.12
2.9,2.56
6.53,0.02
6.58,2.38
5.21,3.81
3.27,3.01
2.28,0.52
2.67,1.55
4.79,0.47
2.84,3.64
1.45,0.17
4.72,2.46
5.91,2.79
4.43,0.45
6.65,0.74
3.57,3.81
4.08,2.11
6.84,3.6
4.02,3.87
0.99,1.02
4.21,2.0
3.19,2.38
4.15,2.51
1.62,1.21
1.65,0.46
2.99,1.29
0.58,0.15
0.38,2.43
4.82,1.38
0.72,3.58
3.61,2.64
0.79,1.96
6.27,0.21
4.35,3.92
0.89,0.36
3.83,3.89
6.52,2.25
1.3,0.58
6.21,3.44
6.49,0.85
0.65,0.8
6.78,2.68
2.24,1.92
1.89,1.93
0.68,3.47
5.36,1.13
5.14,3.48
2.6,3.93
0.29,3.86
4.25,0.6
4.48,2.64
5.79,3.73
0.26,0.85
5.76,3.13
2.72,0.06
2.24,3.04
4.71,0.92
1.82,2.93
2.24,3.81
0.09,1.36
5.11,3.56
4.51,0.83
6.66,1.31
1.23,2.24
5.56,3.21
2.07,3.85
6.99,3.78
2.56,2.9
4.84,1.85
4.7,0.55
1.77,1.87
5.38,2.12
6.19,3.63
3.33,3.54
4.33,0.32
3.85,2.49
1.89,3.74
1.95,3.72
5.72,0.33
2.25,0.04
0.06,0.8
6.29,1.74
4.07,3.52
0.3,3.2
2.22,2.99
6.97,3.29
2.32,0.16
6.96,0.2
2.61,3.31
4.35,1.57
4.61,1.4
4.47,2.85
5.18,0.09
4.71,3.61
0.85,0.41
3.37,3.69
6.95,0.11
3.46,1.87
1.09,0.07
1.95,0.68
2.97,2.52
0.62,1.64
0.89,1.99
1.28,0.28
0.07,2.98
4.66,3.82
5.74,0.68
4.8,2.98
0.35,2.04
3.45,3.54
6.18,3.59
3.07,0.32
0.85,3.24
2.01,2.06
0.18,2.82
2.26,1.48
1.95,3.15
4.19,2.71
0.05,1.23
2.35,0.28
4.51,0.48
6.44,2.07
4.8,0.74
1.18,2.79
5.68,0.75
3.57,1.17
4.79,1.54
3.96,0.41
4.96,1.54
0.79,2.06
3.06,2.1
5.59,2.6
5.91,0.85
0.67,0.36
4.66,2.54
6.11,0.11
0.59,3.56
4.79,1.21
3.99,3.37
2.1,2.85
2.69,2.5
2.09,3.29
1.82,0.15
3.81,1.33
0.86,3.21
1.37,0.23
1.53,3.94
3.4,1.76
6.69,2.8
6.26,2.13
5.87,2.35
3.41,1.75
2.43,2.03
0.8,0.47
2.08,0.8
6.57,2.73
1.3,3.07
1.29,1.18
2.34,0.94
2.46,3.94
1.08,1.95
1.14,3.23
4.85,1.86
2.54,0.19
5.29,2.21
0.91,1.2
