x,y
24.99,3.15
17.15,0.13
15.67,2.07
11.08,3.15
20.61,0.05
20.45,3.45
18.1,3.38
15.99,3.87
10.66,3.35
23.84,2.43
15.98,3.26
7.42,0.61
18.61,0.04
23.95,3.61
10.98,1.94
20.79,3.9
24.76,1.53
20.33,1.04
11.29,2.15
14.14,1.15
22.03,2.05
10.88,1.37
10.26,3.78
20.45,2.9
23.29,2.59
8.91,2.77
20.91,3.33
16.83,0.81
14.12,1.45
13.64,1.3
18.49,0.17
21.1,3.07
11.31,1.83
14.95,3.23
7.69,0.3
12.34,2.45
14.08,3.65
9.06,2.82
21.64,1.22
14.71,0.96
17.29,3.81
24.98,2.03
8.39,2.99
22.34,0.07
8.66,2.34
21.39,1.79
14.92,2.92
23.54,2.56
20.25,0.42
22.81,3.27
21.29,0.89
9.0,1.05
21.15,1.86
21.73,2.56
24.25,2.91
15.38,1.16
18.77,2.03
24.52,3.58
19.68,3.8
7.92,0.3
20.59,1.67
10.87,2.34
24.23,2.73
22.4,0.22
16.75,3.82
13.45,1.43
10.58,2.26
19.23,0.21
22.36,1.02
24.65,2.01
13.7,2.89
22.77,3.03
7.0,1.24
18.09,1.9
21.45,1.61
7.91,2.6
11.09,1.68
16.67,1.31
23.92,0.45
7.88,3.36
15.75,0.62
17.95,2.74
23.96,3.66
22.27,2.5
18.86,2.9
23.54,0.42
14.18,3.3
10.37,2.88
18.82,2.86
10.36,4.0
19.88,2.07
7.67,1.81
7.77,2.45
9.48,1.9
24.19,3.06
11.77,1.58
8.76,2.37
13.22,2.83
10.01,1.28
8.38,0.89
15.75,1.83
11.46,3.07
15.84,0.62
8.84,3.04
23.7,3.03
12.67,3.88
17.19,1.15
10.67,2.04
16.8,1.6
17.7,0.76
7.66,2.36
13.67,0.57
21.09,1.41
8.77,2.92
10.36,1.23
12.12,2.81
8.44,0.86
20.71,2.46
24.77,0.92
14.43,2.25
19.22,3.02
24.03,1.96
8.72,2.63
20.05,1.29
11.56,2.87
19.65,1.79
17.5,2.73
13.76,0.91
11.59,1.8
11.99,1.73
14.95,1.59
24.23,3.2
9.54,0.83
17.27,0.5
9.44,0.1
10.01,2.91
23.07,0.64
16.66,1.53
20.49,0.62
24.74,0.96
15.73,1.76
20.19,2.73
16.18,1.94
19.97,1.92
10.92,3.16
15.96,0.48
19.89,3.35
16.01,2.58
8.22,2.55
15.69,3.71
13.6,1.2
8.49,3.47
15.57,2.56
16.05,2.19
7.27,3.01
8.08,0.47
10.95,0.16
23.89,2.9
18.64,0.84
21.69,2.48
12.29,1.59
9.7,0.77
17.77,2.49
22.08,2.14
24.11,1.92
18.48,3.41
21.77,0.58
10.85,3.67
12.63,1.74
23.47,2.29
7.14,0.08
14.85,0.79
10.92,2.01
12.71,3.92
13.94,2.13
22.05,2.81
10.72,3.5
10.97,3.55
10.41,2.9
11.8,3.79
21.65,2.04
14.05,0.9
9.15,3.22
22.53,2.92
17.32,3.79
14.99,2.35
12.55,1.88
24.93,1.03
14.04,1.85
18.11,3.31
17.53,2.14
20.61,3.32
10.79,0.53
13.56,1.05
8.28,2.45
17.09,3.22
8.99,2.35
15.12,1.64
14.08,2.98
20.47,3.58
11.79,2.34
17.04,1.56
7.9,0.83
11.37,3.98
14.55,2.55
17.76,1.3
19.87,3.55
18.54,0.39
20.89,1.39
11.05,1.73
16.23,3.97
12.77,3.96
15.34,0.76
11.58,2.49
16.94,3.83
14.56,3.27
7.86,3.42
24.44,3.14
11.58,3.17
20.99,2.7
18.13,1.86
16.67,0.41
11.63,1.17
10.41,3.23
15.98,0.8
7.13,0.23
23.83,3.25
17.43,0.5
18.89,0.78
17.96,3.86
21.63,2.09
23.59,0.24
